chr	start	end	length	sequence	chip.sample001.tsv	chip.sample002.tsv	chip.sample003.tsv	chip.sample004.tsv	chip.sample005.tsv	chip.sample006.tsv	chip.sample007.tsv	chip.sample008.tsv	chip.sample009.tsv	chip.sample010.tsv
ENSG00000131196	18	79395855	79529325	133470	NA	89	97	148	239	440	382	389	666	275	761
ENSG00000131203	8	39902274	39928444	26170	NA	147	180	202	958	297	196	145	478	500	324
ENSG00000131233	1	38874450	38881587	7137	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131236	1	40040232	40072649	32417	NA	961	1208	2375	2657	2818	2693	3294	4769	5344	3865
ENSG00000131238	1	40072704	40097703	24999	NA	734	745	1501	1656	774	905	958	1323	3814	2577
ENSG00000131242	17	31391623	31538217	146594	NA	100	89	171	267	467	382	389	670	466	656
ENSG00000131263	X	74585216	74614617	29401	NA	134	164	278	313	399	495	509	576	1400	1350
ENSG00000131264	X	73447253	73455245	7992	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131269	X	75053171	75156732	103561	NA	52	70	110	125	214	218	204	245	410	320
ENSG00000131323	14	102777475	102911500	134025	NA	96	145	192	396	471	551	488	786	438	638
ENSG00000131351	19	17049728	17075625	25897	NA	14	20	36	44	156	50	177	186	118	53
ENSG00000131355	19	14619116	14690027	70911	NA	30	23	39	0	9	7	3	5	90	15
ENSG00000131368	3	15042459	15065335	22876	NA	100	122	140	134	463	374	350	216	761	731
ENSG00000131370	3	15254852	15341368	86516	NA	88	106	195	85	88	116	124	147	407	327
ENSG00000131373	3	15560703	15601852	41149	NA	37	67	83	121	117	122	143	149	266	230
ENSG00000131374	3	17157161	18444817	1287656	NA	318	230	537	446	480	737	751	1277	1801	1505
ENSG00000131375	3	15206151	15252918	46767	NA	126	190	276	254	421	440	392	525	1055	886
ENSG00000131378	3	16313573	16514026	200453	NA	334	365	541	1119	1627	1151	2040	2908	1365	1651
ENSG00000131379	3	14675098	14773034	97936	NA	1	1	2	1	2	4	23	7	6	8
ENSG00000131381	3	15070072	15099163	29091	NA	174	139	284	180	250	278	223	224	972	1001
ENSG00000131386	3	16174648	16231992	57344	NA	8	9	21	143	19	29	59	19	60	101
ENSG00000131389	3	14402575	14489349	86774	NA	316	428	556	276	330	489	575	534	1752	2262
ENSG00000131398	19	50311936	50333515	21579	NA	40	31	42	22	60	54	94	82	218	176
ENSG00000131400	19	50358476	50365830	7354	NA	3532	3925	7342	7	47	14	27	21	16070	13014
ENSG00000131401	19	50333795	50344767	10972	NA	43	74	82	1163	1024	785	926	1213	253	188
ENSG00000131408	19	50329652	50382982	53330	NA	158	315	310	394	210	268	188	260	851	829
ENSG00000131409	19	50516891	50568045	51154	NA	13	19	11	25	10	8	11	2	50	39
ENSG00000131435	5	132257670	132273454	15784	NA	7	9	18	12	16	17	33	19	38	182
ENSG00000131437	5	132692627	132737638	45011	NA	49	61	135	99	112	132	138	163	467	492
ENSG00000131446	5	180784781	180815652	30871	NA	587	819	1058	2063	859	853	766	764	2495	2224
ENSG00000131459	5	180300689	180353387	52698	NA	26	38	114	40	40	36	61	67	175	393
ENSG00000131462	17	42609675	42615234	5559	NA	26	65	129	45	113	58	155	192	214	163
ENSG00000131467	17	42824384	42843758	19374	NA	263	256	515	500	659	613	769	1290	1161	1210
ENSG00000131469	17	42998272	43002959	4687	NA	370	672	1685	2441	4667	2011	3230	2253	5051	2960
ENSG00000131470	17	42572314	42577831	5517	NA	8	9	9	5	28	16	23	30	51	53
ENSG00000131471	17	42851183	42858130	6947	NA	1995	1506	2014	304	78	206	315	104	6063	5101
ENSG00000131473	17	41866907	41930542	63635	NA	320	414	862	573	700	820	929	1342	2302	1550
ENSG00000131475	17	42773435	42779599	6164	NA	67	94	174	176	179	121	188	284	413	374
ENSG00000131477	17	42758446	42763041	4595	NA	235	190	452	93	54	54	69	48	986	727
ENSG00000131480	17	42844599	42850707	6108	NA	2	7	11	8	18	5	6	2	27	33
ENSG00000131482	17	42900796	42913369	12573	NA	0	0	0	0	1	0	1	0	0	0
ENSG00000131484	17	45533962	45534710	748	NA	0	0	1	0	1	1	0	0	2	7
ENSG00000131495	5	140638739	140647785	9046	NA	19	43	74	74	93	50	67	75	132	81
ENSG00000131503	5	140401813	140539856	138043	NA	7	8	7	6	32	62	47	32	67	90
ENSG00000131504	5	141515015	141619055	104040	NA	650	736	1335	1155	1567	1690	1902	2269	3060	3692
ENSG00000131507	5	142108504	142154443	45939	NA	527	593	1199	840	1137	765	657	716	3316	2254
ENSG00000131508	5	139526430	139628433	102003	NA	154	230	356	477	735	422	735	916	971	856
ENSG00000131538	Y	22439592	22441458	1866	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131548	Y	22144965	22146831	1866	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131558	7	133253072	134066589	813517	NA	191	198	327	423	285	409	342	585	1160	1148
ENSG00000131584	1	1292375	1309609	17234	NA	98	213	157	143	179	168	172	93	618	583
ENSG00000131591	1	1081817	1116361	34544	NA	25	50	33	36	47	46	45	27	92	124
ENSG00000131620	11	70078301	70189528	111227	NA	258	138	234	52	29	57	79	33	503	893
ENSG00000131626	11	70270699	70384403	113704	NA	190	208	352	232	294	285	366	398	1261	841
ENSG00000131634	16	1528687	1555580	26893	NA	101	219	179	206	195	88	106	88	387	458
ENSG00000131650	16	2963943	2968383	4440	NA	1	0	0	1	8	1	4	4	3	0
ENSG00000131652	16	3024026	3027755	3729	NA	42	64	90	125	149	105	124	136	249	288
ENSG00000131653	16	2155697	2178129	22432	NA	148	198	305	419	323	362	348	487	849	787
ENSG00000131668	9	93951621	93955372	3751	NA	0	0	0	0	1	0	0	0	0	0
ENSG00000131669	9	93121488	93134288	12800	NA	108	131	231	470	147	227	201	193	512	615
ENSG00000131686	1	8945866	8975092	29226	NA	0	0	0	1	19	15	3	5	3	0
ENSG00000131697	1	5862810	5992473	129663	NA	49	83	69	75	74	75	64	68	311	428
ENSG00000131711	5	72107233	72209570	102337	NA	50	100	108	147	57	126	244	182	707	417
ENSG00000131721	X	120158560	120165630	7070	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131724	X	118727571	118794539	66968	NA	523	598	1008	870	498	445	434	620	3152	2561
ENSG00000131725	X	118346072	118449961	103889	NA	93	98	181	198	208	247	171	263	555	438
ENSG00000131730	5	81233284	81266397	33113	NA	4	3	10	9	9	16	10	4	26	26
ENSG00000131732	5	81301589	81313297	11708	NA	59	61	94	118	219	126	229	252	393	264
ENSG00000131737	17	41377649	41382403	4754	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131738	17	41363493	41369800	6307	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131746	17	40475827	40501597	25770	NA	0	6	8	6	5	23	14	22	37	60
ENSG00000131747	17	40388515	40417950	29435	NA	43	25	86	251	1202	562	1991	3387	132	136
ENSG00000131748	17	39637064	39663484	26420	NA	154	192	240	434	470	425	313	326	799	833
ENSG00000131759	17	40309191	40357643	48452	NA	149	239	395	116	123	158	159	79	700	925
ENSG00000131771	17	39626739	39636626	9887	NA	48	82	114	2	0	1	4	2	484	176
ENSG00000131773	8	135457456	135656722	199266	NA	67	29	57	28	16	31	22	29	256	104
ENSG00000131778	1	147242640	147295766	53126	NA	129	111	231	161	383	288	358	455	598	402
ENSG00000131779	1	145911349	145918837	7488	NA	55	76	128	157	209	148	167	262	447	381
ENSG00000131781	1	147175350	147243050	67700	NA	161	255	191	26	69	67	54	38	1347	620
ENSG00000131788	1	145848521	145859836	11315	NA	117	141	154	133	146	188	183	171	742	746
ENSG00000131791	1	147155105	147172550	17445	NA	163	124	243	143	272	264	208	180	1131	498
ENSG00000131797	16	31700589	31711986	11397	NA	58	79	120	147	394	390	340	229	619	431
ENSG00000131808	11	30231015	30235261	4246	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131828	X	19343892	19361705	17813	NA	152	144	260	233	382	309	355	411	768	751
ENSG00000131831	X	17800048	17861337	61289	NA	155	144	207	131	78	82	146	99	673	603
ENSG00000131844	5	71587287	71658704	71417	NA	156	126	245	297	406	381	424	679	801	638
ENSG00000131845	19	57351306	57359898	8592	NA	55	56	83	81	114	147	117	102	433	365
ENSG00000131848	19	56219669	56368383	148714	NA	10	12	20	16	18	22	21	21	61	104
ENSG00000131849	19	58432813	58440222	7409	NA	14	18	27	35	33	45	28	47	163	97
ENSG00000131864	19	57119137	57131926	12789	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000131871	15	101270816	101277500	6684	NA	161	179	326	464	234	236	232	302	733	729
ENSG00000131873	15	101175722	101251932	76210	NA	213	132	401	323	244	356	381	539	1029	1469
ENSG00000131876	15	101281509	101295282	13773	NA	65	97	134	178	483	423	505	509	396	507
ENSG00000131885	17	16840742	16845883	5141	NA	0	0	0	0	1	2	1	1	0	0
ENSG00000131899	17	18225586	18244875	19289	NA	87	114	143	190	144	212	166	183	435	358
ENSG00000131910	1	26911488	26913966	2478	NA	8	9	18	0	2	0	2	0	38	18
ENSG00000131914	1	26410777	26429722	18945	NA	6	0	0	0	0	0	0	0	2	1
ENSG00000131931	8	42836673	42843325	6652	NA	37	36	75	84	147	94	87	169	208	145
ENSG00000131941	19	32978592	33064888	86296	NA	26	57	89	26	29	26	38	37	261	445
ENSG00000131943	19	29698885	29715789	16904	NA	78	88	114	288	205	227	213	311	372	338
ENSG00000131944	19	32972208	32978222	6014	NA	5	2	13	19	19	15	39	38	32	20
ENSG00000131951	14	59919712	60063559	143847	NA	0	0	1	0	0	1	0	1	4	8
ENSG00000131966	14	58200079	58235636	35557	NA	177	193	354	320	267	220	293	393	905	772
ENSG00000131969	14	50872159	50904970	32811	NA	8	1	13	0	0	3	2	0	12	18
ENSG00000131979	14	54842007	54902852	60845	NA	70	104	131	241	244	255	323	415	322	396
ENSG00000131981	14	55124109	55145413	21304	NA	692	932	1679	623	141	239	342	330	5013	3450
ENSG00000131982	12	20449654	20450083	429	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000132000	19	13931186	13953392	22206	NA	2	5	4	4	0	1	1	0	25	21
ENSG00000132002	19	14514769	14529770	15001	NA	407	424	627	480	444	465	453	568	2105	2005
ENSG00000132003	19	13795459	13832230	36771	NA	36	52	92	24	44	52	54	65	197	208
ENSG00000132004	19	12688052	12696643	8591	NA	7	13	27	19	9	22	20	17	53	91
ENSG00000132005	19	13961537	14007039	45502	NA	34	51	59	68	47	74	86	57	182	300
ENSG00000132010	19	12092842	12140407	47565	NA	2	0	1	0	2	0	1	4	6	8
ENSG00000132016	19	13882347	13906452	24105	NA	12	5	13	17	9	18	6	7	39	26
ENSG00000132017	19	13952491	13961449	8958	NA	60	97	109	193	264	269	207	241	300	333
ENSG00000132024	19	13906200	13930879	24679	NA	138	132	164	176	121	160	163	150	471	558
ENSG00000132026	19	12825477	12835428	9951	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000132031	2	19992110	20012694	20584	NA	118	79	266	10	2	5	1	7	450	382
ENSG00000132109	11	4384896	4393696	8800	NA	122	116	233	251	223	240	180	310	598	483
ENSG00000132122	1	48295371	48472208	176837	NA	67	58	96	59	37	62	62	27	471	536
ENSG00000132128	1	46261195	46303608	42413	NA	235	203	314	331	277	373	303	413	1109	1097
ENSG00000132141	17	34927858	34981078	53220	NA	7	4	6	7	10	11	14	17	26	60
ENSG00000132153	3	47802908	47850195	47287	NA	218	240	389	498	422	510	469	634	1026	1033
ENSG00000132155	3	12583600	12664226	80626	NA	387	386	564	592	735	857	805	935	2114	2089
ENSG00000132164	3	10816199	10940733	124534	NA	1	0	3	0	0	0	0	0	6	0
ENSG00000132170	3	12287367	12434356	146989	NA	92	112	224	99	26	50	35	21	835	356
ENSG00000132182	3	13316234	13420309	104075	NA	135	206	250	874	1526	2028	1763	2541	739	732
ENSG00000132185	1	161706971	161714352	7381	NA	0	4	4	353	951	461	867	1458	6	35
ENSG00000132196	1	162790701	162812817	22116	NA	23	41	59	64	142	100	87	101	335	239
ENSG00000132199	18	670323	712676	42353	NA	148	201	201	209	327	339	307	218	1326	1434
ENSG00000132204	18	1254382	1408344	153962	NA	1	0	0	0	1	0	0	0	7	1
ENSG00000132205	18	2847029	2915993	68964	NA	141	277	491	239	90	86	95	100	877	689
ENSG00000132207	16	30193886	30197561	3675	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000132254	11	6474682	6481479	6797	NA	120	126	186	198	204	270	242	257	693	773
ENSG00000132256	11	5663556	5938619	275063	NA	90	106	229	159	256	209	216	312	709	613
ENSG00000132259	11	6234764	6244429	9665	NA	4	5	7	0	1	2	3	2	54	126
ENSG00000132274	11	5689688	5737089	47401	NA	510	625	865	1986	3161	2634	1937	2906	4408	3680
ENSG00000132275	11	6595074	6603620	8546	NA	46	59	86	131	147	179	174	182	331	270
ENSG00000132286	11	6481446	6484679	3233	NA	94	130	220	146	179	206	235	294	815	486
ENSG00000132294	8	131904087	132013642	109555	NA	386	408	756	703	630	815	738	1258	2634	1950
ENSG00000132297	8	132061485	132111159	49674	NA	1	0	5	1	1	0	4	1	21	6
ENSG00000132300	2	86106181	86142157	35976	NA	207	212	328	355	764	688	711	791	1529	1029
ENSG00000132305	2	86143931	86195770	51839	NA	200	269	360	515	618	513	711	1070	1013	993
ENSG00000132313	2	86199354	86213794	14440	NA	72	84	158	198	298	212	423	419	496	373
ENSG00000132321	2	236324146	236507542	183396	NA	10	27	31	7	10	5	5	17	184	352
ENSG00000132323	2	238170400	238203729	33329	NA	61	103	106	167	235	202	218	232	419	486
ENSG00000132326	2	238244037	238290102	46065	NA	122	101	80	83	117	191	197	194	533	1692
ENSG00000132329	2	237858892	237912114	53222	NA	6	15	13	23	25	8	22	17	32	57
ENSG00000132330	2	238060888	238099413	38525	NA	0	3	3	9	18	25	12	7	30	24
ENSG00000132334	10	127907060	128085855	178795	NA	245	301	519	430	440	619	530	453	1185	1088
ENSG00000132341	12	130871878	130877678	5800	NA	286	414	935	1155	1921	1173	2062	3769	2107	2052
ENSG00000132356	5	40759378	40798374	38996	NA	407	375	649	562	774	1088	921	975	2563	2226
ENSG00000132357	5	40841183	40860175	18992	NA	110	103	197	107	48	123	105	164	623	430
ENSG00000132359	17	2777055	3037739	260684	NA	104	92	127	115	124	136	113	74	447	362
ENSG00000132361	17	2689385	2712663	23278	NA	110	237	221	230	294	262	330	376	638	563
ENSG00000132376	17	1494570	1516888	22318	NA	273	229	315	358	276	265	239	340	1445	845
ENSG00000132382	17	4538896	4555631	16735	NA	156	149	201	277	394	479	368	444	546	623
ENSG00000132383	17	1829701	1900082	70381	NA	246	271	459	596	860	773	1059	1617	1293	959
ENSG00000132386	17	1761958	1777574	15616	NA	212	260	615	1214	606	538	728	941	1076	1546
ENSG00000132388	17	4269258	4366628	97370	NA	192	173	301	399	648	383	869	1203	936	693
ENSG00000132394	3	128153453	128408646	255193	NA	32	54	89	90	109	102	88	132	213	188
ENSG00000132405	4	6909241	7033118	123877	NA	115	172	259	161	222	292	316	366	628	541
ENSG00000132406	4	4235541	4248212	12671	NA	77	113	145	146	150	115	144	167	487	318
ENSG00000132423	6	99369399	99394204	24805	NA	9	14	23	25	41	29	53	61	74	58
ENSG00000132424	6	99398050	99425331	27281	NA	744	724	758	1059	4004	3573	3317	2477	7003	4454
ENSG00000132429	6	105158279	105179995	21716	NA	1	10	15	1	0	3	1	2	12	7
ENSG00000132432	7	54752249	54759974	7725	NA	29	76	231	102	231	76	240	159	416	291
ENSG00000132434	7	55365447	55433742	68295	NA	46	45	92	85	131	96	144	175	210	280
ENSG00000132436	7	50444127	50542535	98408	NA	25	33	52	89	176	185	177	331	184	177
ENSG00000132437	7	50458435	50565457	107022	NA	3	2	20	0	2	0	3	1	53	21
ENSG00000132446	X	31071240	31072053	813	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000132463	4	70815781	70839945	24164	NA	251	305	553	593	776	508	692	1082	1627	1226
ENSG00000132464	4	70628743	70686816	58073	NA	2	5	5	3	10	11	20	5	13	31
ENSG00000132465	4	70655540	70681817	26277	NA	199	818	1561	5037	1380	1882	3752	1895	1674	4892
ENSG00000132466	4	73073375	73258798	185423	NA	389	332	478	405	627	947	904	1312	2204	1677
ENSG00000132467	4	70688478	70690551	2073	NA	89	111	227	280	457	284	362	389	563	442
ENSG00000132470	17	75721327	75757818	36491	NA	144	128	171	108	88	107	130	128	758	650
ENSG00000132471	17	75845698	75856507	10809	NA	406	484	672	747	597	669	508	588	2537	2157
ENSG00000132475	17	75776433	75785893	9460	NA	2332	2218	4178	2931	2827	2896	3101	3435	10885	10919
ENSG00000132478	17	75784770	75825799	41029	NA	88	75	100	164	208	205	221	253	414	436
ENSG00000132481	17	75874160	75878575	4415	NA	30	71	96	104	50	107	76	76	202	335
ENSG00000132485	1	71063290	71081297	18007	NA	420	456	657	650	1817	1530	1764	1399	4060	2935
ENSG00000132507	17	7306998	7312463	5465	NA	113	281	617	418	680	333	825	697	1098	937
ENSG00000132510	17	7839903	7854796	14893	NA	125	239	271	174	210	371	330	256	890	1639
ENSG00000132514	17	7074536	7080307	5771	NA	34	67	64	285	128	166	108	97	376	163
ENSG00000132517	17	5032599	5052009	19410	NA	1	1	3	5	6	3	2	7	31	37
ENSG00000132518	17	8002593	8020339	17746	NA	0	2	1	1	5	7	7	2	10	7
ENSG00000132522	17	7311323	7315564	4241	NA	1	5	1	1	15	4	8	2	14	17
ENSG00000132530	17	6755446	6775647	20201	NA	108	153	129	86	330	262	233	217	1150	1623
ENSG00000132535	17	7189889	7219702	29813	NA	55	73	121	70	64	101	71	44	381	370
ENSG00000132541	8	98102343	98117241	14898	NA	25	21	42	32	59	37	58	84	146	91
ENSG00000132549	8	99013265	99877580	864315	NA	123	171	211	326	340	680	604	632	1047	915
ENSG00000132554	8	99960935	100131268	170333	NA	5	14	21	8	3	5	4	1	172	418
ENSG00000132561	8	97868839	98036716	167877	NA	146	75	340	335	276	306	338	349	728	670
ENSG00000132563	5	138439016	138446969	7953	NA	0	3	4	2	0	6	2	10	13	16
ENSG00000132570	5	134904905	135007959	103054	NA	25	27	27	43	50	54	58	68	186	127
ENSG00000132581	17	28648355	28662189	13834	NA	70	81	163	190	138	124	110	180	465	359
ENSG00000132589	17	28879334	28897679	18345	NA	455	422	758	1022	1238	1124	967	1133	2129	1717
ENSG00000132591	17	28854937	28861067	6130	NA	101	75	156	163	178	166	176	315	391	331
ENSG00000132600	16	68310973	68358563	47590	NA	82	74	109	180	256	258	234	219	466	436
ENSG00000132603	16	69339429	69343111	3682	NA	54	63	117	182	242	209	280	374	323	328
ENSG00000132604	16	69355560	69408571	53011	NA	87	77	162	190	483	282	549	721	437	470
ENSG00000132612	16	69311355	69326939	15584	NA	100	94	185	197	246	181	220	211	621	522
ENSG00000132613	16	70661203	70686066	24863	NA	35	49	82	20	11	34	34	23	294	223
ENSG00000132622	20	3732666	3753111	20445	NA	132	223	236	25	15	29	29	34	663	279
ENSG00000132623	20	9986125	10058303	72178	NA	23	23	47	27	43	38	31	32	167	156
ENSG00000132631	20	18813725	18814392	667	NA	0	0	0	0	0	0	0	0	0	0
ENSG00000132635	20	2835313	2841190	5877	NA	119	148	158	270	462	392	280	186	737	661
ENSG00000132639	20	10218829	10307418	88589	NA	10	4	6	4	6	9	18	11	21	80
ENSG00000132640	20	11890722	11926609	35887	NA	217	118	290	136	66	101	108	73	1053	818
ENSG00000132646	20	5114952	5126626	11674	NA	133	137	344	503	986	481	1297	2369	694	442
ENSG00000132661	20	23350735	23354777	4042	NA	18	38	69	61	86	45	58	79	124	124
ENSG00000132664	20	18467126	18484643	17517	NA	38	53	73	68	97	106	113	132	244	242
ENSG00000132669	20	19886520	20002457	115937	NA	389	309	606	235	93	124	141	123	2468	1473
ENSG00000132670	20	2864183	3039076	174893	NA	351	307	581	584	539	626	510	767	1931	1494
ENSG00000132671	20	23035385	23036812	1427	NA	2	1	1	0	0	1	0	0	1	1
ENSG00000132676	1	155687959	155739010	51051	NA	154	180	364	655	702	575	590	822	1100	811
ENSG00000132677	1	156369211	156385219	16008	NA	0	0	0	0	0	0	0	0	0	1
ENSG00000132680	1	155913042	155934400	21358	NA	195	178	163	390	924	797	781	542	1459	1211
ENSG00000132681	1	160151569	160186977	35408	NA	1	0	0	17	18	25	22	15	3	5
ENSG00000132688	1	156668762	156677397	8635	NA	724	613	937	259	64	118	171	133	2787	1518
ENSG00000132692	1	156641389	156659532	18143	NA	3	3	1	2	2	2	1	3	5	1
ENSG00000132693	1	159712288	159714589	2301	NA	0	0	0	0	0	0	0	1	1	0
ENSG00000132694	1	156934839	157045370	110531	NA	286	222	450	319	193	340	233	257	1608	1183
ENSG00000132698	1	156061159	156070514	9355	NA	87	139	241	3	3	3	6	2	675	531
ENSG00000132702	1	156619293	156625725	6432	NA	0	0	0	0	0	0	0	0	3	4
ENSG00000132703	1	159587824	159588865	1041	NA	0	0	0	0	0	1	0	0	0	0
ENSG00000132704	1	157745732	157777132	31400	NA	2	8	13	191	924	696	557	618	19	88
ENSG00000132716	1	160215714	160262531	46817	NA	182	194	275	337	731	591	592	436	1609	1461
ENSG00000132718	1	155859508	155885199	25691	NA	131	137	244	290	217	342	308	547	723	483
ENSG00000132740	11	68903841	68940602	36761	NA	60	55	78	105	101	185	122	175	353	213
ENSG00000132744	11	67642554	67650659	8105	NA	1	1	3	21	60	14	51	30	2	4
ENSG00000132746	11	67662161	67681200	19039	NA	1	1	0	0	0	0	0	0	17	18
ENSG00000132749	11	68707439	68751564	44125	NA	4	1	2	12	23	29	21	28	37	29
ENSG00000132763	1	45500052	45513382	13330	NA	10	12	24	27	24	30	38	30	114	46
ENSG00000132768	1	43969999	43973369	3370	NA	52	45	103	151	201	201	166	238	223	233
ENSG00000132773	1	45339669	45343975	4306	NA	36	30	52	94	124	113	112	140	138	149
ENSG00000132780	1	45583845	45618904	35059	NA	236	243	407	485	1164	798	1365	1808	1717	1792
ENSG00000132781	1	45329162	45340470	11308	NA	32	41	76	122	142	137	89	82	198	219
ENSG00000132792	20	37693954	37872129	178175	NA	118	144	299	321	367	306	355	495	723	572
ENSG00000132793	20	41340919	41360582	19663	NA	65	77	89	44	36	54	49	39	626	671
ENSG00000132801	20	45857616	45879122	21506	NA	15	15	26	31	51	61	51	85	73	78
ENSG00000132819	20	57391406	57409333	17927	NA	24	88	102	358	450	384	467	894	198	291
ENSG00000132821	20	37903103	37945350	42247	NA	3	20	24	6	1	7	1	4	105	217
ENSG00000132823	20	44196495	44210791	14296	NA	67	114	142	204	338	275	293	257	541	474
ENSG00000132824	20	44496220	44522109	25889	NA	918	788	1343	983	981	1103	1018	1224	4262	3446
ENSG00000132825	20	59936667	59940297	3630	NA	22	54	59	78	87	46	59	58	240	140
ENSG00000132832	20	44656450	44696096	39646	NA	0	4	1	4	4	12	10	11	7	3
ENSG00000132837	5	78997605	79236038	238433	NA	0	3	10	7	4	4	9	2	25	35
ENSG00000132840	5	79069716	79089466	19750	NA	6	15	14	15	23	12	18	5	68	68
ENSG00000132842	5	78000524	78294755	294231	NA	156	186	347	402	396	416	455	813	968	715
ENSG00000132846	5	77072071	77087323	15252	NA	58	60	98	50	39	62	39	41	334	259
ENSG00000132849	1	61742476	62178675	436199	NA	200	167	300	113	140	180	131	87	1981	1287
ENSG00000132854	1	62236978	62319414	82436	NA	52	25	43	0	0	1	0	1	153	166
ENSG00000132855	1	62597486	62606159	8673	NA	0	0	0	1	0	1	0	0	0	2
ENSG00000132872	18	43267877	43277650	9773	NA	1	0	37	0	0	0	0	1	3	2
ENSG00000132874	18	45212994	45683686	470692	NA	7	1	3	0	0	4	1	5	14	10
ENSG00000132879	1	11654374	11663327	8953	NA	57	72	69	195	311	238	166	157	376	347
ENSG00000132881	1	16231699	16237162	5463	NA	8	16	14	8	22	21	10	11	51	51
ENSG00000132906	1	15490831	15526534	35703	NA	64	38	79	91	98	106	70	128	275	442
ENSG00000132911	5	152391531	152433368	41837	NA	0	2	1	0	0	0	0	0	34	4
ENSG00000132912	5	150708439	150759109	50670	NA	251	281	467	317	281	282	279	428	1635	1362
ENSG00000132915	5	149857954	149944793	86839	NA	1	1	5	2	2	2	1	1	11	64
ENSG00000132932	13	25372070	26025851	653781	NA	19	19	26	18	58	44	31	59	109	61
ENSG00000132938	13	28820347	29505947	685600	NA	1	3	3	12	9	23	5	1	19	11
ENSG00000132950	13	19823481	19863636	40155	NA	43	72	65	159	172	189	212	243	480	321
ENSG00000132952	13	30617692	30660770	43078	NA	121	120	200	261	394	423	424	510	796	556
ENSG00000132953	13	20777328	20903048	125720	NA	187	159	344	230	435	500	500	618	1230	969
ENSG00000132958	13	19422876	19536762	113886	NA	0	0	0	1	1	1	3	1	1	4
ENSG00000132963	13	28659103	28678925	19822	NA	122	160	388	412	392	242	485	688	941	641
ENSG00000132964	13	26254103	26405238	151135	NA	37	37	66	71	76	82	62	110	213	153
ENSG00000132965	13	30713477	30764426	50949	NA	254	239	650	228	363	255	313	293	1793	687
ENSG00000132967	3	22381818	22382929	1111	NA	0	0	4	0	4	1	2	0	2	1
ENSG00000132970	13	26557702	26688948	131246	NA	147	115	217	103	31	56	64	93	610	309
ENSG00000132972	13	24764151	24879921	115770	NA	0	0	0	0	1	1	0	0	0	7
ENSG00000132975	13	26755199	26760785	5586	NA	0	0	4	0	1	0	0	0	1	8
ENSG00000133019	1	239386564	239915452	528888	NA	33	15	56	2	5	2	7	2	102	114
ENSG00000133020	17	10390321	10421950	31629	NA	0	0	2	0	0	0	0	2	0	1
ENSG00000133026	17	8474204	8630761	156557	NA	1436	1340	1853	328	152	324	344	196	6557	6865
ENSG00000133027	17	17505562	17591708	86146	NA	16	43	40	30	10	21	20	15	83	76
ENSG00000133028	17	10672473	10698375	25902	NA	74	106	170	151	229	208	249	275	520	430
ENSG00000133030	17	17042544	17217679	175135	NA	963	973	1781	940	1333	1462	1458	1426	5661	4545
ENSG00000133048	1	203178930	203186749	7819	NA	95	110	352	162	142	468	149	718	222	753
ENSG00000133055	1	203167810	203175813	8003	NA	0	0	0	0	1	3	0	2	2	4
ENSG00000133056	1	204422627	204494724	72097	NA	285	221	493	215	636	1272	879	1473	1552	897
ENSG00000133059	1	205142504	205211566	69062	NA	168	151	249	127	191	238	181	156	991	767
ENSG00000133063	1	203212826	203273641	60815	NA	8	39	21	892	49	222	147	77	1099	2686
ENSG00000133065	1	205789092	205813748	24656	NA	179	223	421	177	315	432	428	612	1259	1352
ENSG00000133067	1	202193900	202319781	125881	NA	30	15	25	37	11	42	14	20	85	102
ENSG00000133069	1	205228175	205273343	45168	NA	17	20	27	26	26	19	21	13	157	53
ENSG00000133083	13	35768651	36131306	362655	NA	13	27	100	212	74	218	295	192	123	223
ENSG00000133101	13	36431519	36442882	11363	NA	1	0	7	2	8	5	2	3	46	111
ENSG00000133103	13	39655626	39791665	136039	NA	86	90	159	169	197	203	205	288	481	386
ENSG00000133104	13	36301637	36370180	68543	NA	228	271	497	422	244	352	262	237	1692	1470
ENSG00000133105	13	31739541	31803388	63847	NA	1	6	1	0	0	0	0	0	27	6
ENSG00000133106	13	42886387	42992271	105884	NA	104	104	198	377	272	472	277	796	341	666
ENSG00000133107	13	37636635	37870425	233790	NA	7	13	11	5	0	1	3	0	26	34
ENSG00000133110	13	37562582	37598844	36262	NA	156	68	632	651	38	20	324	120	1319	1001
ENSG00000133111	13	36819223	36829104	9881	NA	27	30	68	53	110	68	102	99	194	137
ENSG00000133112	13	45333470	45341370	7900	NA	1194	2244	5035	6898	10847	4969	7956	6247	20166	9525
ENSG00000133114	13	44989528	45037669	48141	NA	89	109	146	122	310	237	242	293	645	498
ENSG00000133115	13	38965924	38991066	25142	NA	2	10	7	0	0	0	0	0	11	156
